nr;manual;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2018.10.22 13:34;buy;0.10;7100.09000;2018.10.23 12:18;6970.63000;1363.0;;-16.89;-1.60;;-16.89;-1.60
2;2018.10.22 14:36;buy;0.10;7147.70000;2018.10.23 12:18;7016.64000;1302.0;;-13.20;-1.25;;-13.20;-1.25
3;2018.10.22 14:41;buy;0.20;2778.63000;2018.10.23 12:18;2714.90000;1296.0;;-12.82;-1.21;;-12.82;-1.21
4;2018.10.23 14:20;buy;0.10;7008.29000;2018.10.23 16:04;6966.78000;104.0;;-5.40;-0.53;2018.10.23;-5.40;-0.53
5;2018.10.24 14:18;buy;0.10;7020.77000;2018.10.24 16:36;7020.98000;137.0;[sl];0.03;0.00;;0.03;0.00
6;2018.10.24 17:31;buy;0.10;7012.58000;2018.10.24 18:08;6959.89000;36.0;[sl];-6.80;-0.67;2018.10.24;-6.80;-0.67
7;2018.10.31 17:28;buy;1.00;2723.79000;2018.10.31 17:44;2712.71000;16.0;[sl];-11.08;-1.07;;-11.08;-1.07
8;2018.10.31 18:41;buy;1.00;2718.97000;2018.10.31 19:36;2723.17000;55.0;[sl];4.20;0.41;;4.20;0.41
9;2018.10.31 19:44;buy;1.00;2730.26000;2018.10.31 21:22;2727.67000;97.0;[sl];-2.59;-0.25;;-2.59;-0.25
10;2018.10.31 20:55;buy;0.50;2732.53000;2018.10.31 21:22;2727.42000;27.0;[sl];-2.56;-0.25;;-2.56;-0.25
11;2018.10.31 21:30;buy;1.00;2729.56000;2018.10.31 21:34;2723.94000;4.0;;-5.62;-0.55;2018.10.31;-5.62;-0.55
12;2018.11.13 21:22;buy;0.10;512.40000;2018.11.14 18:21;442.60000;1258.0;[sl];-7.07;-0.70;2018.11.14;-7.07;-0.70
13;2018.11.27 12:35;sell;0.10;11326.20000;2018.11.27 18:04;11325.48000;328.0;;0.08;0.00;2018.11.27;0.08;0.00
14;2018.11.28 10:42;sell;0.10;11309.66000;2018.11.28 18:46;11305.39000;484.0;;0.48;0.03;2018.11.28;0.48;0.03
15;2018.11.30 20:14;sell;0.10;11274.25000;2018.11.30 22:17;11301.04000;122.0;;-3.03;-0.18;2018.11.30;-3.03;-0.18
16;2018.11.30 22:18;buy;0.10;2755.65000;2018.12.03 13:31;2802.44000;3792.0;;4.58;0.27;2018.12.3;4.58;0.27
17;2018.11.30 20:58;buy;0.20;2750.07000;2018.12.04 19:05;2754.64000;5646.0;[sl];0.63;0.04;;0.63;0.04
18;2018.11.30 17:26;buy;0.10;2741.79000;2018.12.04 19:05;2754.64000;5858.0;[sl];1.15;0.07;;1.15;0.07
19;2018.11.30 17:35;buy;0.10;2746.52000;2018.12.04 19:05;2754.64000;5849.0;[sl];0.67;0.04;;0.67;0.04
20;2018.12.04 14:50;buy;0.10;2780.60000;2018.12.04 19:05;2754.64000;254.0;[sl];-2.60;-0.15;2018.12.4;-2.60;-0.15
21;2018.12.05 11:11;buy;0.10;52.72000;2018.12.05 14:27;52.93000;196.0;;2.10;0.12;;2.10;0.12
22;2018.12.05 14:58;buy;0.10;53.22000;2018.12.05 18:42;53.31000;224.0;;0.90;0.05;2018.12.5;0.90;0.05
23;2018.12.06 09:42;buy;0.10;52.84000;2018.12.06 11:03;51.83000;80.0;[sl];-10.10;-0.59;;-10.10;-0.59
24;2018.12.06 10:23;sell;0.10;11021.06000;2018.12.06 12:12;10931.18000;108.0;;10.19;0.60;;10.19;0.60
25;2018.12.06 13:06;sell;0.10;10924.74000;2018.12.06 13:15;10936.17000;8.0;;-1.30;-0.08;;-1.30;-0.08
26;2018.12.06 15:05;sell;0.10;10911.68000;2018.12.06 15:37;10931.40000;31.0;;-2.24;-0.13;;-2.24;-0.13
27;2018.12.06 13:47;sell;0.10;10920.45000;2018.12.06 15:37;10931.40000;110.0;;-1.24;-0.07;;-1.24;-0.07
28;2018.12.06 15:51;sell;0.10;10908.41000;2018.12.06 16:36;10904.45000;44.0;[sl];0.45;0.03;;0.45;0.03
29;2018.12.06 17:18;sell;0.10;10873.16000;2018.12.06 17:19;10870.45000;1.0;;0.31;0.02;;0.31;0.02
30;2018.12.06 18:01;buy;0.10;6676.39000;2018.12.06 18:11;6666.74000;10.0;;-0.97;-0.06;;-0.97;-0.06
31;2018.12.06 15:38;buy;0.10;2665.98000;2018.12.06 18:11;2635.01000;153.0;;-3.10;-0.18;;-3.10;-0.18
32;2018.12.06 16:16;buy;0.10;51.43000;2018.12.06 18:11;50.83000;115.0;;-6.00;-0.35;;-6.00;-0.35
33;2018.12.06 19:52;buy;0.20;2662.18000;2018.12.06 22:06;2662.44000;133.0;;0.05;0.00;2018.12.6;0.05;0.00
34;2018.12.06 19:53;buy;0.10;6778.41000;2018.12.07 05:45;6817.73000;592.0;;3.84;0.23;;3.84;0.23
35;2018.12.06 22:59;buy;0.10;2694.75000;2018.12.07 06:04;2686.48000;425.0;;-0.86;-0.05;;-0.86;-0.05
36;2018.12.06 19:54;buy;0.10;2666.17000;2018.12.07 06:04;2686.48000;610.0;;2.00;0.12;;2.00;0.12
37;2018.12.06 21:07;buy;0.10;51.32000;2018.12.07 06:04;51.14000;536.0;;-1.76;-0.10;;-1.76;-0.10
38;2018.12.06 22:10;buy;0.20;2668.58000;2018.12.07 06:04;2686.48000;473.0;;3.51;0.21;;3.51;0.21
39;2018.12.07 10:40;buy;0.10;51.20000;2018.12.07 12:47;51.22000;126.0;;0.20;0.01;;0.20;0.01
40;2018.12.07 11:25;buy;0.20;2679.95000;2018.12.07 12:47;2682.30000;82.0;;0.47;0.03;;0.47;0.03
41;2018.12.07 13:01;sell;0.10;10888.14000;2018.12.07 15:25;10877.12000;143.0;;1.25;0.07;;1.25;0.07
42;2018.12.07 12:12;sell;0.10;10896.87000;2018.12.07 15:25;10876.87000;193.0;;2.27;0.13;;2.27;0.13
43;2018.12.07 17:01;buy;0.10;2700.78000;2018.12.07 17:11;2692.39000;10.0;;-0.84;-0.05;;-0.84;-0.05
44;2018.12.07 15:26;buy;0.20;2682.73000;2018.12.07 17:11;2692.14000;105.0;;1.88;0.11;;1.88;0.11
45;2018.12.07 15:25;buy;0.10;52.40000;2018.12.07 17:18;53.23000;112.0;;8.30;0.49;;8.30;0.49
46;2018.12.07 17:11;sell;0.10;10904.16000;2018.12.07 18:42;10785.08000;91.0;;13.57;0.79;;13.57;0.79
47;2018.12.07 18:11;sell;0.10;6722.34000;2018.12.07 18:42;6711.07000;31.0;;1.13;0.07;;1.13;0.07
48;2018.12.07 18:21;sell;0.30;2656.94000;2018.12.07 18:42;2662.47000;21.0;;-1.66;-0.10;;-1.66;-0.10
49;2018.12.07 19:35;sell;0.10;6673.65000;2018.12.07 20:04;6710.72000;29.0;[sl];-3.71;-0.22;;-3.71;-0.22
50;2018.12.07 18:53;sell;0.10;6696.30000;2018.12.07 20:04;6710.72000;71.0;[sl];-1.44;-0.08;;-1.44;-0.08
51;2018.12.07 18:47;buy;0.10;53.77000;2018.12.07 20:39;53.00000;112.0;;-7.70;-0.45;;-7.70;-0.45
52;2018.12.07 20:29;sell;0.10;10764.01000;2018.12.07 22:32;10710.03000;122.0;;6.16;0.36;;6.16;0.36
53;2018.12.07 20:52;sell;0.20;2644.50000;2018.12.07 22:32;2641.89000;99.0;[sl];0.52;0.03;;0.52;0.03
54;2018.12.07 18:59;sell;0.30;2649.92000;2018.12.07 22:32;2641.89000;212.0;[sl];2.41;0.14;;2.41;0.14
55;2018.12.07 20:08;sell;0.30;2657.35000;2018.12.07 22:32;2642.14000;143.0;[sl];4.56;0.27;;4.56;0.27
56;2018.12.07 20:12;sell;0.10;10786.02000;2018.12.07 22:32;10714.28000;140.0;;8.19;0.48;;8.19;0.48
57;2018.12.07 21:55;sell;0.10;6615.76000;2018.12.07 22:34;6644.00000;38.0;[sl];-2.82;-0.17;;-2.82;-0.17
58;2018.12.07 20:09;sell;0.20;6687.24000;2018.12.07 22:34;6643.38000;144.0;[sl];8.77;0.51;;8.77;0.51
59;2018.12.07 21:00;sell;0.10;6644.88000;2018.12.07 22:34;6643.38000;93.0;[sl];0.15;0.01;;0.15;0.01
60;2018.12.07 21:23;sell;0.10;6662.89000;2018.12.07 22:34;6644.00000;70.0;[sl];1.89;0.11;;1.89;0.11
61;2018.12.07 19:18;sell;0.10;6780.07000;2018.12.07 22:34;6760.16000;195.0;;2.54;0.15;;2.54;0.15
62;2018.12.07 19:42;sell;0.10;6769.84000;2018.12.07 22:34;6759.16000;172.0;;1.36;0.08;;1.36;0.08
63;2018.12.07 18:56;sell;0.10;6773.84000;2018.12.07 22:34;6760.16000;218.0;;1.74;0.10;;1.74;0.10
64;2018.12.07 22:34;buy;0.10;52.53000;2018.12.07 23:29;52.22000;54.0;;-3.10;-0.18;2018.12.7;-3.10;-0.18
65;2018.12.10 11:22;buy;0.10;52.51000;2018.12.10 16:11;51.43000;288.0;;-10.80;-0.62;;-10.80;-0.62
66;2018.12.10 15:56;sell;0.10;10720.42000;2018.12.10 16:15;10717.50000;19.0;;0.33;0.02;;0.33;0.02
67;2018.12.10 15:45;sell;0.10;10728.70000;2018.12.10 16:16;10717.96000;31.0;;1.22;0.07;;1.22;0.07
68;2018.12.10 16:12;sell;0.10;10711.05000;2018.12.10 16:24;10719.12000;12.0;;-0.92;-0.05;;-0.92;-0.05
69;2018.12.10 15:44;sell;0.10;10732.16000;2018.12.10 16:24;10718.87000;40.0;;1.51;0.09;;1.51;0.09
70;2018.12.10 16:24;sell;0.10;10716.87000;2018.12.10 18:01;10610.98000;96.0;[tp];12.05;0.70;;12.05;0.70
71;2018.12.10 17:13;buy;0.10;51.79000;2018.12.10 18:24;51.33000;71.0;;-4.60;-0.27;;-4.60;-0.27
72;2018.12.10 16:51;sell;0.10;10697.66000;2018.12.10 18:26;10610.40000;95.0;;9.92;0.58;;9.92;0.58
73;2018.12.10 16:31;sell;0.10;10708.94000;2018.12.10 19:40;10675.98000;189.0;[sl];3.75;0.22;;3.75;0.22
74;2018.12.10 16:31;sell;0.10;10706.94000;2018.12.10 19:40;10675.98000;189.0;[sl];3.52;0.20;;3.52;0.20
75;2018.12.10 20:35;buy;0.10;6655.79000;2018.12.10 21:09;6668.40000;34.0;;1.26;0.07;2018.12.10;1.26;0.07
76;2018.12.11 12:36;buy;0.10;51.44000;2018.12.11 14:33;51.45000;116.0;;0.10;0.01;;0.10;0.01
77;2018.12.11 15:29;buy;0.90;51.66000;2018.12.11 15:35;51.68000;6.0;to #50493374;1.80;0.10;;1.80;0.10
78;2018.12.10 22:42;buy;0.10;2644.32000;2018.12.11 18:43;2645.05000;1200.0;[sl];0.04;0.00;;0.04;0.00
79;2018.12.11 15:29;buy;0.10;51.66000;2018.12.11 19:04;51.59000;215.0;from #50493009;-0.70;-0.04;;-0.70;-0.04
80;2018.12.10 22:30;buy;0.10;2635.62000;2018.12.11 19:04;2642.97000;1234.0;;0.71;0.04;;0.71;0.04
81;2018.12.10 22:09;buy;0.10;2630.35000;2018.12.11 19:04;2642.48000;1255.0;;1.18;0.07;;1.18;0.07
82;2018.12.10 22:02;buy;0.10;2629.84000;2018.12.11 19:04;2641.98000;1262.0;;1.18;0.07;;1.18;0.07
83;2018.12.11 19:55;buy;0.10;51.67000;2018.12.11 20:05;51.61000;10.0;;-0.60;-0.03;;-0.60;-0.03
84;2018.12.11 19:38;buy;0.10;51.53000;2018.12.11 20:05;51.61000;26.0;;0.80;0.05;;0.80;0.05
85;2018.12.11 20:12;sell;0.10;10757.22000;2018.12.11 20:19;10774.02000;6.0;;-1.90;-0.11;;-1.90;-0.11
86;2018.12.11 20:12;buy;0.10;51.73000;2018.12.11 20:26;51.59000;14.0;;-1.40;-0.08;;-1.40;-0.08
87;2018.12.11 20:22;buy;0.20;2642.00000;2018.12.11 20:26;2637.11000;4.0;;-0.98;-0.06;;-0.98;-0.06
88;2018.12.11 20:40;sell;0.10;10753.96000;2018.12.11 21:03;10749.51000;22.0;;0.50;0.03;;0.50;0.03
89;2018.12.11 20:45;sell;0.10;10738.96000;2018.12.11 21:18;10761.51000;33.0;;-2.55;-0.15;;-2.55;-0.15
90;2018.12.11 20:33;sell;0.40;2634.12000;2018.12.11 21:18;2630.00000;45.0;;1.65;0.09;;1.65;0.09
91;2018.12.11 20:46;sell;0.10;51.49000;2018.12.11 21:18;51.36000;32.0;;1.30;0.07;;1.30;0.07
92;2018.12.11 21:30;buy;0.40;2645.89000;2018.12.11 22:40;2647.16000;69.0;;0.51;0.03;;0.51;0.03
93;2018.12.11 21:30;buy;0.10;2645.14000;2018.12.11 22:40;2647.16000;69.0;;0.20;0.01;;0.20;0.01
94;2018.12.11 21:45;buy;0.10;6726.31000;2018.12.11 22:40;6730.59000;54.0;;0.43;0.02;;0.43;0.02
95;2018.12.11 21:40;buy;0.10;6718.79000;2018.12.11 22:40;6730.59000;59.0;;1.18;0.07;;1.18;0.07
96;2018.12.11 21:30;buy;0.10;6711.96000;2018.12.11 22:40;6730.59000;69.0;;1.86;0.11;;1.86;0.11
97;2018.12.11 22:09;buy;0.10;10815.26000;2018.12.11 23:54;10763.02000;104.0;;-5.91;-0.34;;-5.91;-0.34
98;2018.12.11 22:41;buy;0.20;2647.56000;2018.12.11 23:54;2627.93000;72.0;;-3.93;-0.22;2018.12.11;-3.93;-0.22
99;2018.12.11 23:30;buy;0.10;52.03000;2018.12.12 01:02;51.97000;91.0;;-0.56;-0.03;;-0.56;-0.03
100;2018.12.11 21:34;buy;0.10;51.66000;2018.12.12 01:02;51.99000;207.0;;3.34;0.19;;3.34;0.19
101;2018.12.12 15:42;buy;0.10;52.64000;2018.12.12 17:36;51.76000;113.0;;-8.80;-0.50;;-8.80;-0.50
102;2018.12.12 17:20;buy;0.30;2674.40000;2018.12.12 17:37;2669.27000;17.0;;-1.54;-0.09;;-1.54;-0.09
103;2018.12.12 17:35;sell;0.10;51.77000;2018.12.12 17:56;52.19000;20.0;;-4.20;-0.24;;-4.20;-0.24
104;2018.12.12 17:36;sell;0.10;51.71000;2018.12.12 17:56;52.19000;19.0;;-4.80;-0.28;;-4.80;-0.28
105;2018.12.12 17:45;sell;0.10;51.68000;2018.12.12 17:56;52.19000;11.0;;-5.10;-0.29;;-5.10;-0.29
106;2018.12.12 17:43;sell;0.10;10926.05000;2018.12.12 17:57;10960.22000;14.0;;-3.88;-0.22;;-3.88;-0.22
107;2018.12.12 17:40;sell;0.30;2664.81000;2018.12.12 17:57;2678.18000;17.0;;-4.01;-0.23;;-4.01;-0.23
108;2018.12.12 18:00;buy;0.10;52.43000;2018.12.12 19:10;51.94000;69.0;[sl];-4.90;-0.29;;-4.90;-0.29
109;2018.12.12 17:56;buy;0.40;52.21000;2018.12.12 19:10;51.94000;73.0;[sl];-10.80;-0.63;;-10.80;-0.63
110;2018.12.12 19:30;buy;0.50;52.13000;2018.12.12 21:01;51.89000;90.0;[sl];-12.00;-0.70;;-12.00;-0.70
111;2018.12.12 21:02;sell;0.80;51.89000;2018.12.12 21:13;51.83000;11.0;;4.80;0.28;;4.80;0.28
112;2018.12.12 21:14;sell;0.40;51.74000;2018.12.12 21:16;51.73000;1.0;;0.40;0.02;;0.40;0.02
113;2018.12.12 18:17;buy;0.20;2680.50000;2018.12.12 21:28;2663.22000;190.0;[sl];-3.46;-0.20;;-3.46;-0.20
114;2018.12.12 18:04;buy;0.20;2678.69000;2018.12.12 21:28;2663.22000;204.0;[sl];-3.09;-0.18;;-3.09;-0.18
115;2018.12.12 17:59;buy;0.30;2677.43000;2018.12.12 21:28;2663.22000;209.0;[sl];-4.26;-0.25;;-4.26;-0.25
116;2018.12.12 21:27;sell;0.40;51.49000;2018.12.12 21:33;51.17000;6.0;;12.80;0.75;;12.80;0.75
117;2018.12.12 19:00;buy;0.10;6862.34000;2018.12.12 21:47;6787.19000;166.0;;-7.52;-0.44;;-7.52;-0.44
118;2018.12.12 18:17;buy;0.10;6859.64000;2018.12.12 21:47;6787.31000;209.0;;-7.23;-0.42;;-7.23;-0.42
119;2018.12.12 18:04;buy;0.10;6843.16000;2018.12.12 21:47;6787.56000;222.0;;-5.56;-0.32;;-5.56;-0.32
120;2018.12.12 21:40;buy;0.40;51.19000;2018.12.12 21:47;51.17000;7.0;;-0.80;-0.05;;-0.80;-0.05
121;2018.12.12 21:51;buy;0.60;2660.44000;2018.12.12 22:55;2654.17000;63.0;[sl];-3.76;-0.22;;-3.76;-0.22
