datum;depo;komment
2018.10.17 10:57;300000.00;Dep bank: UniCredit HU Bank
2018.10.17 11:07;-2970.30;Fee: transfer to INTER
2018.10.17 11:07;-297029.70;Transfer to INTER|27018855
2018.11.14 16:38;200000.00;Dep bank: UniCredit HU Bank
2018.11.14 16:53;-198019.80;Transfer to INTER|27018855
2018.11.14 16:53;-1980.20;Fee: transfer to INTER
2018.12.21 10:41;200000.00;Dep bank: UniCredit HU Bank
2018.12.21 11:07;-1980.00;Fee: transfer to INTER
2018.12.21 11:07;-198000.00;Transfer to INTER|27018855
2019.02.05 10:51;250000.00;Dep bank: UniCredit HU Bank
2019.02.05 12:18;-250020.00;Transfer to INTER|27018855
2019.03.27 23:03;288359.08;Transfer from INTER|27018855
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52976667
2019.03.29 02:33;71.63;Adj: ex-div [SP500] #52976200
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52978286
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52991909
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52990507
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52989297
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52976667
2019.04.01 02:34;11.69;Adj: ex-div [SP500] #52976200
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52978286
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52989297
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52990507
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52991909
2019.04.01 02:34;2.92;Adj: ex-div [SP500] #53005491
2019.04.01 02:34;2.92;Adj: ex-div [SP500] #53016870
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52976667
2019.04.02 02:48;65.04;Adj: ex-div [SP500] #52976200
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52978286
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52989297
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52990507
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52991909
2019.04.02 02:48;16.26;Adj: ex-div [SP500] #53005491
2019.04.02 02:48;16.26;Adj: ex-div [SP500] #53016870
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53048486
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53054356
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53056084
2019.04.02 02:49;6.50;Adj: ex-div [SP500] #53057869
2019.04.02 02:49;3.25;Adj: ex-div [SP500] #53061688
2019.04.02 02:49;6.50;Adj: ex-div [SP500] #53063963
2019.04.03 15:25;130000.00;Dep bank: UniCredit HU Bank
2019.04.04 02:32;373.37;Adj: ex-div [SP500] #52976200
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52978286
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52976667
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52989297
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52991909
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52990507
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53005491
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53016870
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53048486
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53056084
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53054356
2019.04.04 02:32;18.67;Adj: ex-div [SP500] #53061688
2019.04.04 02:32;37.34;Adj: ex-div [SP500] #53057869
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52976667
2019.04.05 02:33;12.93;Adj: ex-div [SP500] #52976200
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52978286
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52989297
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52990507
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52991909
2019.04.05 02:33;3.23;Adj: ex-div [SP500] #53005491
2019.04.05 02:33;3.23;Adj: ex-div [SP500] #53016870
2019.04.05 02:33;3.23;Adj: ex-div [SP500] #53048486
2019.04.05 02:33;3.23;Adj: ex-div [SP500] #53054356
2019.04.05 02:33;3.23;Adj: ex-div [SP500] #53056084
2019.04.05 02:33;0.65;Adj: ex-div [SP500] #53180167
2019.04.05 02:33;1.29;Adj: ex-div [SP500] #53184889
2019.04.05 02:33;1.29;Adj: ex-div [SP500] #53186894
2019.04.05 02:34;1.29;Adj: ex-div [SP500] #53188282
2019.04.08 02:33;32.74;Adj: ex-div [SP500] #52976200
2019.04.08 02:33;16.37;Adj: ex-div [SP500] #52976667
2019.04.08 02:33;16.37;Adj: ex-div [SP500] #52978286
2019.04.08 02:33;16.37;Adj: ex-div [SP500] #52989297
2019.04.08 02:33;16.37;Adj: ex-div [SP500] #52991909
2019.04.08 02:33;16.37;Adj: ex-div [SP500] #52990507
2019.04.08 02:33;8.19;Adj: ex-div [SP500] #53005491
2019.04.08 02:33;8.19;Adj: ex-div [SP500] #53016870
2019.04.08 02:33;8.19;Adj: ex-div [SP500] #53054356
2019.04.08 02:33;8.19;Adj: ex-div [SP500] #53048486
2019.04.08 02:33;8.19;Adj: ex-div [SP500] #53056084
2019.04.08 02:33;3.27;Adj: ex-div [SP500] #53184889
2019.04.08 02:33;3.27;Adj: ex-div [SP500] #53186894
2019.04.08 02:33;3.27;Adj: ex-div [SP500] #53188282
2019.04.08 02:33;1.64;Adj: ex-div [SP500] #53197867
2019.04.08 02:33;3.27;Adj: ex-div [SP500] #53204278
2019.04.09 02:22;502.05;Adj: ex-div [SP500] #52976200
2019.04.09 02:22;251.02;Adj: ex-div [SP500] #52976667
2019.04.09 02:22;251.02;Adj: ex-div [SP500] #52989297
2019.04.09 02:22;251.02;Adj: ex-div [SP500] #52978286
2019.04.09 02:22;251.02;Adj: ex-div [SP500] #52990507
2019.04.09 02:22;251.02;Adj: ex-div [SP500] #52991909
2019.04.09 02:22;125.51;Adj: ex-div [SP500] #53016870
2019.04.09 02:22;125.51;Adj: ex-div [SP500] #53005491
2019.04.09 02:22;125.51;Adj: ex-div [SP500] #53048486
2019.04.09 02:22;125.51;Adj: ex-div [SP500] #53054356
2019.04.09 02:22;125.51;Adj: ex-div [SP500] #53056084
2019.04.09 02:23;50.20;Adj: ex-div [SP500] #53184889
2019.04.09 02:23;50.20;Adj: ex-div [SP500] #53186894
2019.04.09 02:23;25.10;Adj: ex-div [SP500] #53197867
2019.04.09 02:23;50.20;Adj: ex-div [SP500] #53188282
2019.04.09 02:23;50.20;Adj: ex-div [SP500] #53204278
2019.04.09 02:23;25.10;Adj: ex-div [SP500] #53228021
2019.04.09 02:23;25.10;Adj: ex-div [SP500] #53234282
2019.04.09 02:23;25.10;Adj: ex-div [SP500] #53246853
2019.04.09 02:23;25.10;Adj: ex-div [SP500] #53248087
2019.04.10 02:09;137.34;Adj: ex-div [SP500] #52976200
2019.04.10 02:09;68.67;Adj: ex-div [SP500] #52976667
2019.04.10 02:09;68.67;Adj: ex-div [SP500] #52978286
2019.04.10 02:09;68.67;Adj: ex-div [SP500] #52989297
2019.04.10 02:09;68.67;Adj: ex-div [SP500] #52990507
2019.04.10 02:09;34.33;Adj: ex-div [SP500] #53266827
2019.04.11 02:24;10.68;Adj: ex-div [SP500] #52976667
2019.04.11 02:24;21.35;Adj: ex-div [SP500] #52976200
2019.04.11 02:24;10.68;Adj: ex-div [SP500] #52978286
2019.04.11 02:24;10.68;Adj: ex-div [SP500] #52989297
2019.04.11 02:24;10.68;Adj: ex-div [SP500] #52990507
2019.04.11 02:24;5.34;Adj: ex-div [SP500] #53266827
2019.04.11 02:24;5.34;Adj: ex-div [SP500] #53314478
2019.04.12 02:29;163.14;Adj: ex-div [SP500] #52976200
2019.04.12 02:29;81.57;Adj: ex-div [SP500] #52976667
2019.04.12 02:29;81.57;Adj: ex-div [SP500] #52978286
2019.04.12 02:30;163.14;Adj: ex-div [SP500] #53346970
2019.04.12 02:30;326.28;Adj: ex-div [SP500] #53342928
2019.04.15 02:15;19.07;Adj: ex-div [SP500] #52976667
2019.04.15 02:15;38.14;Adj: ex-div [SP500] #52976200
2019.04.15 02:15;19.07;Adj: ex-div [SP500] #52978286
2019.04.15 02:16;76.28;Adj: ex-div [SP500] #53342928
2019.04.15 02:16;38.14;Adj: ex-div [SP500] #53346970
2019.04.15 02:16;9.54;Adj: ex-div [SP500] #53378744
2019.04.15 02:16;57.21;Adj: ex-div [SP500] #53380808
2019.04.16 02:21;31.85;Adj: ex-div [SP500] #52976200
2019.04.16 02:21;15.93;Adj: ex-div [SP500] #52976667
2019.04.16 02:21;15.93;Adj: ex-div [SP500] #52978286
2019.04.16 02:22;30.26;Adj: ex-div [SP500] #53411315
2019.04.16 02:22;63.71;Adj: ex-div [SP500] #53412327
2019.04.16 02:22;33.45;Adj: ex-div [SP500] #53414410
2019.04.17 02:25;431.73;Adj: ex-div [SP500] #53447760
2019.04.18 02:32;105.88;Adj: ex-div [SP500] #53447760
2019.04.18 02:32;49.94;Adj: ex-div [SP500] #53466028
2019.04.18 02:32;53.94;Adj: ex-div [SP500] #53458338
2019.04.18 02:32;39.95;Adj: ex-div [SP500] #53489953
2019.04.22 02:19;221.57;Adj: ex-div [SP500] #53510023
2019.04.22 02:19;44.31;Adj: ex-div [SP500] #53513665
2019.04.22 02:19;11.08;Adj: ex-div [SP500] #53521462
2019.04.22 02:19;11.08;Adj: ex-div [SP500] #53526034
2019.04.23 02:12;3.25;Adj: ex-div [NQ100] #53545777
2019.04.23 02:12;3.25;Adj: ex-div [NQ100] #53545778
2019.04.23 02:16;335.44;Adj: ex-div [SP500] #53545037
2019.04.24 02:13;8.58;Adj: ex-div [SP500] #53545037
2019.04.24 02:13;0.64;Adj: ex-div [SP500] #53573320
2019.04.24 02:13;0.64;Adj: ex-div [SP500] #53573329
2019.04.29 03:03;257.84;Adj: ex-div [SP500] #53638559
2019.04.29 03:03;103.13;Adj: ex-div [SP500] #53655764
2019.04.29 03:05;-43.40;Adj: ex-div [FTSE100] #53624775
2019.04.30 02:39;112.99;Adj: ex-div [SP500] #53638559
2019.04.30 02:39;45.20;Adj: ex-div [SP500] #53655764
2019.05.01 02:58;37.47;Adj: ex-div [SP500] #53709321
2019.05.01 02:58;22.48;Adj: ex-div [SP500] #53712174
2019.05.02 02:37;-336.53;Adj: ex-div [FTSE100] #53624775
2019.05.03 02:29;167.04;Adj: ex-div [SP500] #53761498
2019.05.03 02:29;584.63;Adj: ex-div [SP500] #53761341
2019.05.03 02:29;83.52;Adj: ex-div [SP500] #53761932
